,city,country,parameter,value,unit
424,Delhi,IN,co,1260.0,µg/m³
425,Delhi,IN,co,1260.0,µg/m³
426,Delhi,IN,co,1260.0,µg/m³
427,Delhi,IN,co,1260.0,µg/m³
428,Delhi,IN,co,1260.0,µg/m³
429,Delhi,IN,co,1260.0,µg/m³
430,Delhi,IN,co,1260.0,µg/m³
431,Delhi,IN,co,1260.0,µg/m³
432,Delhi,IN,co,1260.0,µg/m³
433,Delhi,IN,co,1260.0,µg/m³
434,Delhi,IN,co,1260.0,µg/m³
435,Delhi,IN,co,1260.0,µg/m³
436,Delhi,IN,co,1260.0,µg/m³
437,Delhi,IN,co,1260.0,µg/m³
438,Delhi,IN,co,1260.0,µg/m³
439,Delhi,IN,co,1260.0,µg/m³
440,Delhi,IN,co,1260.0,µg/m³
441,Delhi,IN,co,1260.0,µg/m³
442,Delhi,IN,co,1260.0,µg/m³
443,Delhi,IN,co,1260.0,µg/m³
444,Delhi,IN,co,1260.0,µg/m³
445,Delhi,IN,co,1260.0,µg/m³
446,Delhi,IN,co,1260.0,µg/m³
447,Delhi,IN,co,1260.0,µg/m³
448,Delhi,IN,co,1260.0,µg/m³
449,Delhi,IN,co,1260.0,µg/m³
450,Delhi,IN,co,1260.0,µg/m³
451,Delhi,IN,co,1260.0,µg/m³
452,Delhi,IN,co,1260.0,µg/m³
453,Delhi,IN,co,1260.0,µg/m³
454,Delhi,IN,co,1260.0,µg/m³
455,Delhi,IN,co,1260.0,µg/m³
456,Delhi,IN,co,1260.0,µg/m³
457,Delhi,IN,co,1260.0,µg/m³
458,Delhi,IN,co,1260.0,µg/m³
459,Delhi,IN,co,1260.0,µg/m³
460,Delhi,IN,co,1260.0,µg/m³
461,Delhi,IN,co,1260.0,µg/m³
462,Delhi,IN,co,1260.0,µg/m³
463,Delhi,IN,co,1260.0,µg/m³
464,Delhi,IN,co,1260.0,µg/m³
465,Delhi,IN,co,1260.0,µg/m³
466,Delhi,IN,co,1260.0,µg/m³
467,Delhi,IN,co,1260.0,µg/m³
468,Delhi,IN,co,1260.0,µg/m³
469,Delhi,IN,co,1260.0,µg/m³
470,Delhi,IN,co,1260.0,µg/m³
471,Delhi,IN,co,1260.0,µg/m³
472,Delhi,IN,co,1260.0,µg/m³
473,Delhi,IN,co,1260.0,µg/m³
474,Delhi,IN,co,1260.0,µg/m³
475,Delhi,IN,co,1260.0,µg/m³
476,Delhi,IN,co,1260.0,µg/m³
477,Delhi,IN,co,1260.0,µg/m³
478,Delhi,IN,co,1260.0,µg/m³
479,Delhi,IN,co,1260.0,µg/m³
480,Delhi,IN,co,1260.0,µg/m³
481,Delhi,IN,co,1260.0,µg/m³
482,Delhi,IN,co,1260.0,µg/m³
483,Delhi,IN,co,1260.0,µg/m³
484,Delhi,IN,co,1260.0,µg/m³
485,Delhi,IN,co,1260.0,µg/m³
486,Delhi,IN,no2,14.31,µg/m³
487,Delhi,IN,no2,14.31,µg/m³
488,Delhi,IN,no2,14.31,µg/m³
489,Delhi,IN,no2,14.31,µg/m³
490,Delhi,IN,no2,14.31,µg/m³
491,Delhi,IN,no2,14.31,µg/m³
492,Delhi,IN,no2,14.31,µg/m³
493,Delhi,IN,no2,14.31,µg/m³
494,Delhi,IN,no2,14.31,µg/m³
495,Delhi,IN,no2,14.31,µg/m³
496,Delhi,IN,no2,14.31,µg/m³
497,Delhi,IN,no2,14.31,µg/m³
498,Delhi,IN,no2,14.31,µg/m³
499,Delhi,IN,no2,14.31,µg/m³
500,Delhi,IN,no2,14.31,µg/m³
501,Delhi,IN,no2,14.31,µg/m³
502,Delhi,IN,no2,14.31,µg/m³
503,Delhi,IN,no2,14.31,µg/m³
504,Delhi,IN,no2,14.31,µg/m³
505,Delhi,IN,no2,14.31,µg/m³
506,Delhi,IN,no2,14.31,µg/m³
507,Delhi,IN,no2,14.31,µg/m³
508,Delhi,IN,no2,14.31,µg/m³
509,Delhi,IN,no2,14.31,µg/m³
510,Delhi,IN,no2,14.31,µg/m³
511,Delhi,IN,no2,14.31,µg/m³
512,Delhi,IN,no2,14.31,µg/m³
513,Delhi,IN,no2,14.31,µg/m³
514,Delhi,IN,no2,14.31,µg/m³
515,Delhi,IN,no2,14.31,µg/m³
516,Delhi,IN,no2,14.31,µg/m³
517,Delhi,IN,no2,14.31,µg/m³
518,Delhi,IN,no2,14.31,µg/m³
519,Delhi,IN,no2,14.31,µg/m³
520,Delhi,IN,no2,14.31,µg/m³
521,Delhi,IN,no2,14.31,µg/m³
522,Delhi,IN,no2,14.31,µg/m³
523,Delhi,IN,no2,14.31,µg/m³
524,Delhi,IN,no2,14.31,µg/m³
525,Delhi,IN,no2,14.31,µg/m³
526,Delhi,IN,no2,14.31,µg/m³
527,Delhi,IN,no2,14.31,µg/m³
528,Delhi,IN,no2,14.31,µg/m³
529,Delhi,IN,no2,14.31,µg/m³
530,Delhi,IN,no2,14.31,µg/m³
531,Delhi,IN,no2,14.31,µg/m³
532,Delhi,IN,no2,14.31,µg/m³
533,Delhi,IN,no2,14.31,µg/m³
534,Delhi,IN,co,1260.0,µg/m³
535,Delhi,IN,co,1260.0,µg/m³
536,Delhi,IN,co,1260.0,µg/m³
537,Delhi,IN,co,1260.0,µg/m³
538,Delhi,IN,co,1260.0,µg/m³
539,Delhi,IN,co,1260.0,µg/m³
540,Delhi,IN,co,1260.0,µg/m³
541,Delhi,IN,co,1260.0,µg/m³
542,Delhi,IN,co,1260.0,µg/m³
543,Delhi,IN,co,1260.0,µg/m³
544,Delhi,IN,co,1260.0,µg/m³
545,Delhi,IN,co,1260.0,µg/m³
546,Delhi,IN,co,1260.0,µg/m³
547,Delhi,IN,co,1260.0,µg/m³
548,Delhi,IN,co,1260.0,µg/m³
549,Delhi,IN,co,1260.0,µg/m³
550,Delhi,IN,co,1260.0,µg/m³
551,Delhi,IN,co,1260.0,µg/m³
